date,title,outcome,side,size,usdcSize,price,type
2026-02-14 18:34:59,Bad Bunny SB halftime 100M-125M views 7d?,Yes,BUY,50,13,0.26,TRADE
2026-02-14 18:35:17,Bad Bunny SB halftime 100M-125M views 7d?,Yes,SELL,5,1.6,0.32,TRADE
2026-02-14 18:35:25,Bad Bunny SB halftime 100M-125M views 7d?,Yes,SELL,3.125,1,0.32,TRADE
2026-02-14 18:35:47,Bad Bunny SB halftime 100M-125M views 7d?,Yes,SELL,5,1.6,0.32,TRADE
2026-02-14 18:35:53,Bad Bunny SB halftime 100M-125M views 7d?,Yes,SELL,5,1.6,0.32,TRADE
2026-02-14 18:35:59,Bad Bunny SB halftime 100M-125M views 7d?,Yes,SELL,5,1.6,0.32,TRADE
2026-02-14 18:36:05,Bad Bunny SB halftime 100M-125M views 7d?,Yes,SELL,5,1.6,0.32,TRADE
2026-02-14 18:36:11,Bad Bunny SB halftime 100M-125M views 7d?,Yes,SELL,5,1.6,0.32,TRADE
2026-02-14 18:36:17,Bad Bunny SB halftime 100M-125M views 7d?,Yes,SELL,5,1.6,0.32,TRADE
2026-02-14 18:37:19,Bad Bunny SB halftime 75M-100M views 7d?,No,SELL,18.66,5.7846,0.31,TRADE
2026-02-14 18:37:35,Bad Bunny SB halftime 75M-100M views 7d?,No,SELL,1.1,0.341,0.31,TRADE
2026-02-14 18:37:45,Bad Bunny SB halftime 75M-100M views 7d?,No,SELL,3.9,1.209,0.31,TRADE
2026-02-14 18:37:45,Bad Bunny SB halftime 75M-100M views 7d?,No,SELL,19,5.776,0.304,TRADE
2026-02-14 18:37:45,Bad Bunny SB halftime 75M-100M views 7d?,No,SELL,9.71,2.95184,0.304,TRADE
2026-02-14 18:37:59,Bad Bunny SB halftime 100M-125M views 7d?,Yes,SELL,10,3.2,0.32,TRADE
2026-02-14 18:38:07,Bad Bunny SB halftime 100M-125M views 7d?,Yes,SELL,5,1.6,0.32,TRADE
2026-02-14 18:38:23,Bad Bunny SB halftime 100M-125M views 7d?,Yes,SELL,82.28,24.684,0.3,TRADE
2026-02-14 18:39:09,Bad Bunny SB halftime 100M-125M views 7d?,Yes,SELL,35.85,10.3965,0.29,TRADE
2026-02-14 18:39:27,Bad Bunny SB halftime 100M-125M views 7d?,Yes,SELL,8.75,2.625,0.3,TRADE
2026-02-14 19:00:45,Bad Bunny SB halftime 100M-125M views 7d?,Yes,BUY,5,1.7,0.34,TRADE
2026-02-14 19:01:11,Bad Bunny SB halftime 100M-125M views 7d?,Yes,BUY,50,16.5,0.33,TRADE
2026-02-14 19:01:11,Bad Bunny SB halftime 100M-125M views 7d?,Yes,BUY,45,15.3,0.34,TRADE
2026-02-14 19:02:13,Bad Bunny SB halftime 100M-125M views 7d?,Yes,BUY,50,16.5,0.33,TRADE
2026-02-14 19:02:13,Bad Bunny SB halftime 100M-125M views 7d?,Yes,BUY,50,16,0.32,TRADE
2026-02-14 19:02:31,Bad Bunny SB halftime 75M-100M views 7d?,No,BUY,50,16.5,0.33,TRADE
2026-02-14 19:02:31,Bad Bunny SB halftime 75M-100M views 7d?,No,BUY,18.504015,6.069317,0.328,TRADE
2026-02-14 19:04:05,Bad Bunny SB halftime 75M-100M views 7d?,No,BUY,50,16.7,0.334,TRADE
2026-02-14 19:04:21,Bad Bunny SB halftime 75M-100M views 7d?,No,BUY,35,11.69,0.334,TRADE
2026-02-14 19:08:17,Bad Bunny SB halftime 75M-100M views 7d?,No,SELL,153.5,53.725,0.35,TRADE
2026-02-14 19:08:51,Bad Bunny SB halftime 100M-125M views 7d?,Yes,SELL,25,8.5,0.34,TRADE
2026-02-14 19:09:09,Bad Bunny SB halftime 100M-125M views 7d?,Yes,SELL,12.5,4.25,0.34,TRADE
2026-02-14 19:09:21,Bad Bunny SB halftime 100M-125M views 7d?,Yes,SELL,15.62,5.3108,0.34,TRADE
2026-02-14 19:13:03,Bad Bunny SB halftime 100M-125M views 7d?,Yes,SELL,20.65,6.8145,0.33,TRADE
2026-02-14 19:13:59,Bad Bunny SB halftime 100M-125M views 7d?,Yes,SELL,12.91,4.2603,0.33,TRADE
2026-02-14 19:14:11,Bad Bunny SB halftime 100M-125M views 7d?,Yes,SELL,10,3.4,0.34,TRADE
2026-02-14 19:14:19,Bad Bunny SB halftime 100M-125M views 7d?,Yes,SELL,7.54,2.5636,0.34,TRADE
2026-02-14 19:18:31,Bad Bunny SB halftime 100M-125M views 7d?,Yes,SELL,71.84,23.7072,0.33,TRADE
2026-02-14 19:19:31,Bad Bunny SB halftime 100M-125M views 7d?,Yes,SELL,23.94,8.1396,0.34,TRADE
2026-02-14 19:49:51,"Will Russia capture Kostyantynivka by December 31, 2026?",No,BUY,100,15,0.15,TRADE
2026-02-14 20:12:27,Will CDU win 2nd most seats in 2026 Rhineland-Palatinate?,Yes,BUY,100,32,0.32,TRADE
2026-02-14 20:47:45,Bad Bunny SB halftime 100M-125M views 7d?,Yes,BUY,50,19,0.38,TRADE
2026-02-14 20:48:51,Bad Bunny SB halftime 75M-100M views 7d?,No,BUY,50,18.75,0.375,TRADE
2026-02-14 21:11:41,Bad Bunny SB halftime 100M-125M views 7d?,Yes,BUY,15.71,3.6133,0.23,TRADE
2026-02-14 21:12:05,Bad Bunny SB halftime 100M-125M views 7d?,Yes,BUY,34.29,7.8867,0.23,TRADE
2026-02-14 21:21:35,Bad Bunny SB halftime 75M-100M views 7d?,No,BUY,50,13.45,0.269,TRADE
2026-02-14 21:25:49,Bad Bunny SB halftime 100M-125M views 7d?,Yes,SELL,20,5.2,0.26,TRADE
2026-02-14 21:41:07,Bad Bunny SB halftime 100M-125M views 7d?,Yes,BUY,50,11,0.22,TRADE
2026-02-14 22:01:29,Bad Bunny SB halftime 75M-100M views 7d?,No,BUY,50,10.1,0.202,TRADE
2026-02-14 22:10:03,Bad Bunny SB halftime 75M-100M views 7d?,No,SELL,56.25,12.54375,0.223,TRADE
2026-02-14 22:10:03,Bad Bunny SB halftime 75M-100M views 7d?,No,SELL,56.25,12.4875,0.222,TRADE
2026-02-14 22:10:03,Bad Bunny SB halftime 75M-100M views 7d?,No,SELL,37.5,8.4,0.224,TRADE
2026-02-14 22:10:37,Bad Bunny SB halftime 100M-125M views 7d?,Yes,SELL,39.774544,8.750399,0.22,TRADE
2026-02-14 22:11:47,Bad Bunny SB halftime 100M-125M views 7d?,Yes,SELL,65,14.3,0.22,TRADE
2026-02-14 22:11:47,Bad Bunny SB halftime 100M-125M views 7d?,Yes,SELL,25.22,5.5484,0.22,TRADE
2026-02-14 22:34:07,Bad Bunny SB halftime 75M-100M views 7d?,Yes,BUY,3.95,3.0415,0.77,TRADE
2026-02-14 22:34:27,Bad Bunny SB halftime 75M-100M views 7d?,Yes,BUY,46.05,35.4585,0.77,TRADE
